,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
316000,2020-10-19 14:16:29,3598014571045296,fraud_Klein Group,entertainment,117.75,Lisa,Clark,F,07943 Davis River,Grimesland,NC,27837,35.558,-77.2566,5903,Manufacturing systems engineer,1993-10-07,ef301f053152274be29b407875090c4e,1382192189,36.541509999999995,-77.58550799999999,0
316001,2020-10-19 14:16:35,372246459334925,"fraud_Lubowitz, Terry and Stracke",personal_care,41.49,Rick,Martinez,M,062 Poole Hollow Apt. 815,Deadwood,SD,57732,44.3566,-103.6999,1979,Multimedia programmer,1970-03-13,cf0c79819ac8830228c9df94f8bcca70,1382192195,43.377037,-102.824229,0
316002,2020-10-19 14:16:48,30234966027947,fraud_Spencer-Runolfsson,misc_pos,9.17,Matthew,Lambert,M,7188 Melissa Crest Apt. 151,New Holstein,WI,53061,43.9446,-88.0911,5196,Child psychotherapist,1978-01-22,9d08b2234281d3dcb799938aa5e30ac2,1382192208,43.743421000000005,-87.103627,0
316003,2020-10-19 14:16:51,6524376634971418,fraud_Ratke and Sons,health_fitness,61.01,Jasmine,Foster,F,954 White Alley Apt. 251,Phil Campbell,AL,35581,34.347,-87.7154,5778,"Engineer, aeronautical",1952-12-05,f870afff5d5295ff9f5188cd30ac3ef8,1382192211,34.633776,-88.462925,0
316004,2020-10-19 14:17:01,4514242065619750,fraud_Douglas-White,entertainment,194.33,Janet,Carpenter,F,9870 Collins Flat,Laramie,WY,82072,41.4247,-105.4781,35371,"Pilot, airline",1988-09-02,1268509130af1a1a228653822b781d25,1382192221,40.809337,-104.68199200000001,0
316005,2020-10-19 14:18:42,3575540972310993,"fraud_Metz, Russel and Metz",kids_pets,58.87,Rachel,Villarreal,F,250 Carrie Throughway,University,MS,38677,34.3396,-89.5736,4198,Curator,2001-06-22,ebe19501869576bbbb00ba03d15a6936,1382192322,33.45839,-90.41126,0
316006,2020-10-19 14:18:53,6554245334757802,fraud_Crona and Sons,kids_pets,29.22,Monique,Robinson,F,07712 Marcus Divide Apt. 831,Laguna Hills,CA,92637,33.615,-117.7114,45303,Sales executive,1969-12-22,0c393171a12497bb5f9693c1b25fa9c5,1382192333,33.821903000000006,-118.51858500000002,0
316007,2020-10-19 14:19:13,342319985983023,fraud_Powlowski-Weimann,food_dining,58.69,Bryan,Pugh,M,6366 French Field,Margaretville,NY,12455,42.1852,-74.6178,1988,Environmental health practitioner,1978-05-23,88c5ba7b2c2794d1c5065bd3fd2cf237,1382192353,42.710964000000004,-75.025009,0
316008,2020-10-19 14:19:43,2283743876903625,fraud_Boyer-Reichert,shopping_net,7.79,Shannon,Williams,F,9345 Spencer Junctions Suite 183,Alpharetta,GA,30009,34.077,-84.3033,165556,Prison officer,1997-12-27,60f518365c4424b380478b43e60c9c02,1382192383,33.980927,-85.06138100000001,0
316009,2020-10-19 14:20:01,676372984911,fraud_Bednar Inc,travel,2.61,Vicki,Mendoza,F,3645 Atkins Island Apt. 238,Esbon,KS,66941,39.7562,-98.4462,242,Tourism officer,1987-07-18,7b15aab493b477d2a8ab5d9349bd3daf,1382192401,40.508016,-98.509332,0
