,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
323000,2020-10-22 14:06:32,4767265376804500,fraud_Erdman-Ebert,personal_care,26.9,Jennifer,Conner,F,4655 David Island,Dublin,PA,18917,40.375,-75.2045,2158,Transport planner,1961-06-19,9eeb9f142c6ad2edf5a0eb25996ba30f,1382450792,39.960943,-75.423958,0
323001,2020-10-22 14:07:06,2712209726293386,fraud_O'Keefe-Wisoky,food_dining,47.81,Jenna,Brooks,F,50872 Alex Plain Suite 088,Baton Rouge,LA,70808,30.4066,-91.1468,378909,"Designer, furniture",1977-02-22,1a13a4ad8719083c3517cc375f8a7ef3,1382450826,31.339340999999997,-91.68342,0
323002,2020-10-22 14:07:31,3577663406369449,fraud_Hackett Group,travel,8.45,Cody,Hooper,M,7233 John Parks,Lepanto,AR,72354,35.6069,-90.3359,2470,Counselling psychologist,1968-10-06,f39bfe3e2a41308cbd83cca624f6086d,1382450851,35.436427,-89.981666,0
323003,2020-10-22 14:07:34,378858024506425,fraud_Parker-Kunde,personal_care,3.51,Debra,Eaton,F,72743 Brian Run,Paradise Valley,AZ,85253,33.5494,-111.9565,17047,Building surveyor,1935-01-29,392e7905da21cd069f74f999324a7305,1382450854,33.769797,-112.58748700000001,0
323004,2020-10-22 14:08:20,4003989662068504,"fraud_Koss, McLaughlin and Mayer",food_dining,6.4,Chris,White,M,98897 Bennett Lodge,Bessemer,AL,35022,33.3224,-86.9657,71463,Radio broadcast assistant,1989-02-08,fefae74e12155d055aa8cf7dc8492a12,1382450900,33.469704,-86.252997,0
323005,2020-10-22 14:08:58,36722699017270,fraud_Heathcote LLC,shopping_net,33.22,Jessica,Perez,F,8172 Robertson Parkways Suite 072,Superior,AZ,85173,33.2887,-111.0985,2872,Petroleum engineer,1987-10-28,cfb398caf5d3eb0f87c0f7e494181459,1382450938,33.437265000000004,-110.98340400000001,0
323006,2020-10-22 14:09:18,3576431665303017,fraud_Barton LLC,kids_pets,59.8,Jessica,Ward,F,72269 Elizabeth Field Apt. 132,Phoenix,AZ,85020,33.5623,-112.0559,1312922,Contractor,1981-10-24,b62d6746241bd725acdb501eda7d1c7f,1382450958,33.743165000000005,-111.604786,0
323007,2020-10-22 14:09:28,6011492816282597,"fraud_Baumbach, Strosin and Nicolas",shopping_pos,55.28,Gary,Barnes,M,2970 Flores Brooks,Smackover,AR,71762,33.3398,-92.7442,2501,Financial adviser,1986-06-11,df15fd21916c0310bdfd8a85409876bb,1382450968,32.893169,-92.442176,0
323008,2020-10-22 14:09:52,676148621961,fraud_Kautzer and Sons,personal_care,41.35,Jennifer,Vega,F,91644 Crystal Drives,Eagarville,IL,62023,39.1118,-89.7855,91,Materials engineer,1962-11-18,40dedb1ea77a5eff928d0c8b1f5591c5,1382450992,39.091366,-88.880399,0
323009,2020-10-22 14:11:21,3546674063249004,fraud_Kuhn Group,food_dining,3.34,Jordan,May,M,1626 Susan Course,Aledo,TX,76008,32.7004,-97.6039,13602,Optometrist,1984-07-05,e38321bae6074a127523a2119b3ff39a,1382451081,32.660064,-96.890986,0
323010,2020-10-22 14:12:30,676372984911,fraud_Kutch-Ferry,home,71.82,Vicki,Mendoza,F,3645 Atkins Island Apt. 238,Esbon,KS,66941,39.7562,-98.4462,242,Tourism officer,1987-07-18,395ecfa8bd080062782dc6d9bf2580d9,1382451150,40.713349,-98.393035,0
323011,2020-10-22 14:13:40,4633065159406313,"fraud_Parisian, Schiller and Altenwerth",misc_net,1.6,Jasmine,Wade,F,90662 Lewis Avenue,Providence,RI,2908,41.8383,-71.4377,203571,"Nurse, children's",1995-11-29,d2d3e0979a3bf280bb89ea5d5cffa7f0,1382451220,42.665194,-72.242925,0
323012,2020-10-22 14:14:26,373905417449658,fraud_Kilback Group,food_dining,43.72,Sarah,Bishop,F,554 Mcdonald Valley Apt. 539,Meridian,TX,76665,31.929000000000002,-97.6443,2526,Phytotherapist,1970-11-12,ed0479177a1fbf85fcabbc00f4ac9b6d,1382451266,31.132976,-97.654157,0
323013,2020-10-22 14:14:27,676308307625,fraud_Sporer-Keebler,personal_care,91.8,Donald,Evans,M,1287 Michael Roads,Washoe Valley,NV,89704,39.2669,-119.8174,4290,Animal nutritionist,1989-12-10,f5301393a9f6d75fd939d560b464137a,1382451267,39.715131,-120.50941100000001,0
323014,2020-10-22 14:16:07,4933461930348832,fraud_Eichmann-Kilback,home,5.97,Richard,Carter,M,5097 Martin Ridges,Minneapolis,MN,55403,44.9673,-93.2828,1022298,Chemical engineer,1976-09-29,d4a1f5b837e5b7841234909ffa1f2aff,1382451367,45.45524,-92.85221,0
