,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
326000,2020-10-24 04:13:25,4294930380592,fraud_Haley Group,misc_pos,6.51,Misty,Rivera,F,1980 Vasquez Manors Apt. 574,Catawba,VA,24070,37.3696,-80.1284,1363,Equality and diversity officer,1940-08-23,22c3de55c1a24e9529242f3b1c58b7d3,1382588005,38.224777,-80.693878,0
326001,2020-10-24 04:14:25,6011860238257910,fraud_Jacobi and Sons,shopping_pos,46.46,Lisa,Mendez,F,44259 Beth Station Suite 215,Lahoma,OK,73754,36.385,-98.0727,1078,"Programme researcher, broadcasting/film/video",1952-07-06,20d2194510bd98f9bb1d12ec9785e325,1382588065,36.248892,-97.962977,0
326002,2020-10-24 04:15:32,341546199006537,"fraud_Olson, Becker and Koch",gas_transport,56.56,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",1939-11-09,0da200953137155ab978acab95f7986a,1382588132,63.952706000000006,-164.834776,0
326003,2020-10-24 04:15:55,6538891242532018,fraud_Christiansen-Gusikowski,misc_pos,35.07,Jodi,Rodriguez,F,5796 Lee Coves Apt. 286,Walnut Ridge,AR,72476,36.0244,-90.9288,7155,"Engineer, control and instrumentation",1977-03-23,bd63d45eaa28ac78c3760471ce1af689,1382588155,36.002976000000004,-90.437735,0
326004,2020-10-24 04:16:20,4710792708725663,fraud_Cartwright-Harris,grocery_pos,29.17,Justin,Bell,M,954 Green Wall,Churubusco,IN,46723,41.229,-85.3244,7692,"Research officer, trade union",1986-12-13,0e3f9176bfa02d7e7be3ca1d9ef0372b,1382588180,41.615429,-84.807275,0
326005,2020-10-24 04:17:54,4939976756738216,fraud_Hackett-Lueilwitz,grocery_pos,207.86,Michelle,Johnston,F,3531 Hamilton Highway,Roma,TX,78584,26.4215,-99.0025,18128,IT trainer,1990-11-07,c08de9d682b9906c678231e2885884a0,1382588274,27.178977000000003,-99.522786,0
326006,2020-10-24 04:20:12,3562679455732797,fraud_Mohr Inc,shopping_pos,6.68,Amanda,Jones,F,7320 Jennifer Forges,Queenstown,MD,21658,39.0026,-76.1424,3862,Maintenance engineer,1962-12-06,c13247b438c25331084f1258c1c9cbc7,1382588412,38.451433,-75.90738,0
326007,2020-10-24 04:20:13,30428204673351,"fraud_Casper, Hand and Zulauf",grocery_pos,96.91,Greg,Villarreal,M,2851 Foster Shoals,Schaefferstown,PA,17088,40.3087,-76.2963,823,Gaffer,1982-07-02,5db8d3c681b440c069e3959a40b09c47,1382588413,40.214814000000004,-75.66229399999999,0
326008,2020-10-24 04:23:38,180048185037117,fraud_Murray-Smitham,grocery_pos,227.25,Mary,Wall,F,2481 Mills Lock,Plainfield,NJ,7060,40.6152,-74.415,71485,Leisure centre manager,1974-07-19,4c9f2291e2fb29f58eb8b7379a7b7a8e,1382588618,40.362733,-74.015458,0
326009,2020-10-24 04:24:20,4452366298769043,fraud_Brekke and Sons,gas_transport,44.8,Linda,Davis,F,6602 Ortiz Pine Apt. 179,Blooming Grove,TX,76626,32.0758,-96.70100000000001,1563,Financial adviser,1978-03-04,dcf06df276085a1bda13e2de53e73d6d,1382588660,31.736673,-96.610576,0
